"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"586","Delhi Government Ayush Dispensary, Seema Puri","Public/ Government","Dispensary","Delhi Development Authority, J. J. Colony","Delhi","Shahdara","NA","110095","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"587","Delhi Government Ayush Dispensary, Sundar Nagari","Public/ Government","Dispensary","Sundar Nagari Extension, Delhi Administration Dispensary Bulding, J.J. Colony","Delhi","Shahdara","NA","110093","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"588","Delhi Government Ayush Dispensary, Suraj Mal Vihar","Public/ Government","Dispensary","Teachers Colony, Delhi Administration Dispensary","Delhi","Shahdara","NA","110092","011 22379765","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"589","Delhi Government Ayush Dispensary, Vivek Vihar","Public/ Government","Dispensary","B Block, Delhi Administration Building","Delhi","Shahdara","NA","110092","011 22169947","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"590","Delhi Government Ayush Dispensary, Ber Sarai","Public/ Government","Dispensary","Delhi Administration Dispensary Building","Delhi","South Delhi","NA","110016","011 26964300","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"591","Delhi Government Ayush Dispensary, Chattarpur","Public/ Government","Dispensary","Delhi Development Authority Building Near Ramlila Chowk, Chattarpur Village","Delhi","South Delhi","NA","110030","011 26804832","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"592","Delhi Government Ayush Dispensary, Dakshin Puri","Public/ Government","Dispensary","Delhi Development Authority, Resettlement Colony","Delhi","South Delhi","NA","110062","011 29964386","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"593","Delhi Government Ayush Dispensary, Madangir","Public/ Government","Dispensary","Delhi Development Authority, J llnd, J. J. Colony","Delhi","South Delhi","NA","110062","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"594","Delhi Government Ayush Dispensary, Saket","Public/ Government","Dispensary","DGD, Near PVR Saket","Delhi","South Delhi","NA","110017","011 26566272","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"595","Delhi Government Ayush Dispensary, Sangam Vihar","Public/ Government","Dispensary","K 2/600 B","Delhi","South Delhi","NA","110062","011 26046137","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"596","Delhi Government Ayush Dispensary, Aali Village","Public/ Government","Dispensary","Aali Village, Multi Purpose Community Centre, Badar Pur","Delhi","South East Delhi","NA","110044","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"597","Delhi Government Ayush Dispensary, Batla House","Public/ Government","Dispensary","Community Center, Okhla Village","Delhi","South East Delhi","NA","110025","011 26983028","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"598","Delhi Government Ayush Dispensary, Garhi","Public/ Government","Dispensary","Near East of Kailash","Delhi","South East Delhi","NA","110065","011 26424090","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"599","Delhi Government Ayush Dispensary, Kalkaji","Public/ Government","Dispensary","Delhi Development Authority, Quarters 577","Delhi","South East Delhi","NA","110019","011 26020102","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"600","Delhi Government Ayush Dispensary, Meetha Pur","Public/ Government","Dispensary","Multi Purpose Community Centre, Near Moolarbandh School, Badarpur","Delhi","South East Delhi","NA","110044","011 26668937","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"601","Delhi Government Ayush Dispensary, Sarai Kale Khan","Public/ Government","Dispensary","69 A 76 A, Delhi Development Authority Flats","Delhi","South East Delhi","NA","110025","011 24332157","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"602","Delhi Government Ayush Dispensary, Tajpur Phari","Public/ Government","Dispensary","Tajpur Phari","Delhi","South East Delhi","NA","110044","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"603","Delhi Government Ayush Dispensary, Dwarka Sector 10","Public/ Government","Dispensary","Delhi Government Health Centre, Near Golok Dham","Delhi","South West Delhi","NA","110075","011 25071325","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"604","Delhi Government Ayush Dispensary, Dwarka Sector 12","Public/ Government","Dispensary","Delhi Government Health Centre","Delhi","South West Delhi","NA","110075","011 28031844","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"605","Delhi Government Ayush Dispensary, Dwarka Sector 17","Public/ Government","Dispensary","NA","Delhi","South West Delhi","NA","110075","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"606","Delhi Government Ayush Dispensary, Dwarka Sector 19","Public/ Government","Dispensary","Delhi Government Health Centre, Ambarahi Village","Delhi","South West Delhi","NA","110075","011 28041455","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"607","Delhi Government Ayush Dispensary, Dwarka Sector 2","Public/ Government","Dispensary","Delhi Government Health Centre","Delhi","South West Delhi","NA","110075","011 25072206","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"608","Delhi Government Ayush Dispensary, Dwarka Sector 14","Public/ Government","Dispensary","DGD Near Sector14 Metro Station, Homoeopathic Dispensary","Delhi","South West Delhi","NA","110078","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Homoeopathy","Ayush/ Homoeopathy"
"609","Delhi Government Ayush Dispensary, Kangan Heri","Public/ Government","Dispensary","Delhi Government Health Centre","Delhi","South West Delhi","NA","110071","011 25319161","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"610","Delhi Government Ayush Dispensary, Palam (Sadh Nagar)","Public/ Government","Dispensary","Delhi Government Dispensary Building, Sadh Nagar Part II, Mangla Puri","Delhi","South West Delhi","NA","110045","011 25039148","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"611","Delhi Government Ayush Dispensary, Rao Tula Ram Memorial Hospital","Public/ Government","Dispensary","Homeopathic Unit, Jafar Pur","Delhi","South West Delhi","NA","110073","011 25318187","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.594707","76.913167","Homoeopathy","Ayush/ Homoeopathy"
"612","Delhi Government Ayush Dispensary, Raj Nagar Part II","Public/ Government","Dispensary","Sector VIII, Dwarka","Delhi","South West Delhi","NA","110075","011 26365330","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"613","Delhi Government Ayush Dispensary, Acharya Shree Bhikshu Hospital","Public/ Government","Dispensary","3rd Floor, Moti Nagar","Delhi","West Delhi","NA","110015","011 25466077","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.662111","77.140553","Ayush","Ayush"
"614","Delhi Government Ayush Dispensary, Chaukhandi","Public/ Government","Dispensary","Delhi Development Authority, Resettlement Colony, Near Tilak Nagar","Delhi","West Delhi","NA","110018","011 28331447","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"615","Delhi Government Ayush Dispensary, Guru Govind Singh Hospital","Public/ Government","Dispensary","Raghubir Nagar","Delhi","West Delhi","NA","110027","011 25982016","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","28.653426","77.107232","Ayush","Ayush"
"616","Delhi Government Ayush Dispensary, Hiren Kudna","Public/ Government","Dispensary","Village Nazafgarh","Delhi","West Delhi","NA","110041","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"617","Delhi Government Ayush Dispensary, Janak Puri","Public/ Government","Dispensary","Delhi Development Authority Colony, Block C 2, Pocket 13","Delhi","West Delhi","NA","110058","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"618","Delhi Government Ayush Dispensary, Jwala Puri","Public/ Government","Dispensary","Delhi Development Authority Resettlement Colony","Delhi","West Delhi","NA","110041","011 25250236","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"619","Delhi Government Ayush Dispensary, Nangli Jalib","Public/ Government","Dispensary","Dispensary Near B 1, Delhi Cantonment","Delhi","West Delhi","NA","110010","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"620","Delhi Government Ayush Dispensary, Nangloi","Public/ Government","Dispensary","C Block, Nangloi Camp 2, Opposite Lokesh Cinema","Delhi","West Delhi","NA","110041","011 25186028","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"621","Delhi Government Ayush Dispensary, Paschim Puri","Public/ Government","Dispensary","Janta Flats, No 1 to 4, Block A","Delhi","West Delhi","NA","110063","011 25218312","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"622","Delhi Government Ayush Dispensary, Raghubir Nagar","Public/ Government","Dispensary","Delhi Administration Building, Delhi Development Authority Flats","Delhi","West Delhi","NA","110027","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"623","Delhi Government Ayush Dispensary, Sardar Vallabh Bhai Patel Hospital","Public/ Government","Dispensary","Patel Nagar","Delhi","West Delhi","NA","110008","011 25885598","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"624","Delhi Government Ayush Dispensary, Tilak Vihar","Public/ Government","Dispensary","Delhi Government Dispensary, Resettlement Colony Near Police Chowki","Delhi","West Delhi","NA","110018","011 28334110","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"625","Delhi Government Ayush Dispensary, Vikas Puri","Public/ Government","Dispensary","Delhi Development Authority Flats, KG 1","Delhi","West Delhi","NA","110018","011 25617096","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/doit-homeopathy/Homeopathy/Our+Services2/Locate+Your+Dispensary","NA","NA","Ayush","Ayush"
"626","ESI Dispensary, Azad Pur ","Public/ Government","Dispensary","C-2/35, Model Town-III,Azadpur","Delhi","North Delhi","NA","NA","011 27242791","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"627","ESI Dispensary, Factory Road ","Public/ Government","Dispensary","Factory road, Opposite D.T.C. Depot, Sarojini Nagar","Delhi","South West Delhi","NA","NA","011 24671333","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"628","ESI Dispensary, Karampura","Public/ Government","Dispensary","I Block, Karampura ","Delhi","West Delhi","NA","NA","011 25101314","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"629","ESI Dispensary, Inderlok","Public/ Government","Dispensary","New Masjid, Inderlok","Delhi","North West Delhi","NA","NA","011 23657807","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"630","ESI Dispensary, Badli Extension","Public/ Government","Dispensary","A-79, Badli Extension,Outer Ring Road","Delhi","North West Delhi","NA","NA","NA","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"631","ESI Dispensary, Jangpura","Public/ Government","Dispensary","Opposite Railway Crossing,(Near Eros Cinema), Jangpura","Delhi","South Delhi","NA","NA","011 24312832","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"632","ESI Dispensary, Jawala Puri","Public/ Government","Dispensary","Resettlement Colony,Phase-4, Jawala Puri","Delhi","West Delhi","NA","NA","011 25267204","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"633","ESI Dispensary, Kalkaji","Public/ Government","Dispensary","G-Block, Opposite CGHS Dispensary, Kalkaji","Delhi","South Delhi","NA","NA","011 26430583","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"634","ESI Dispensary, Madipur","Public/ Government","Dispensary","Pocket-3, Paschim Puri,Madipur","Delhi","West Delhi","NA","NA","011 25213796","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"635","ESI Dispensary, Mangolpuri","Public/ Government","Dispensary","O-Block, Mangolpuri","Delhi","North West Delhi","NA","110083","011 27923274","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"636","ESI Dispensary, Maya Puri Phase- I","Public/ Government","Dispensary","B-309, Industrial AreaMayapuri","Delhi","West Delhi","NA","NA","011 28114516","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"637","ESI Dispensary, Maya Puri Phase- II ","Public/ Government","Dispensary","22, Facility area, Near Punjab & Sindh Bank, Mayapuri, Phase-II","Delhi","West Delhi","NA","NA","011 28112417","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"638","ESI Dispensary, Mayur Vihar","Public/ Government","Dispensary","MIG Flats, 183A, B, 184A,BMayur Vihar","Delhi","East Delhi","NA","NA","011 22751272","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"639","ESI Dispensary, Mehrauli","Public/ Government","Dispensary","Tigri, Mehrauli","Delhi","South West Delhi","NA","NA","011 26643190","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"640","ESI Dispensary, Mori Gate","Public/ Government","Dispensary","Near Tis Hazari, Opposite Mori Gate","Delhi","Central Delhi","NA","110006","011 23974744","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"641","ESI Dispensary, Najafgarh","Public/ Government","Dispensary","Thana Road, Najafgarh","Delhi","South West Delhi","NA","NA","011 25012143","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"642","ESI Dispensary, Nand Nagri","Public/ Government","Dispensary","Nand Nagri, Near DTC Depot","Delhi","East Delhi","NA","110093","011 22591935","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"643","ESI Dispensary, Narela","Public/ Government","Dispensary","House No. 70, Panna Udyan,Railway Road, Narela","Delhi","North West Delhi","NA","NA","011 27285840","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"644","ESI Dispensary, Naraina Industrial Area","Public/ Government","Dispensary","Near Moti Nagar Police Station,Naraina Industrial Area","Delhi","South West Delhi","NA","NA","011 25102949","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"645","ESI Dispensary, Okhla","Public/ Government","Dispensary","Okhla Industrial Area,Modi Mills, Okhla","Delhi","South Delhi","NA","NA","011 26929048","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"646","ESI Dispensary, Okhla Phase-I","Public/ Government","Dispensary","DSIDC Sheds Okhla Industrial Area","Delhi","South Delhi","NA","110020","011 26813134","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"647","ESI Dispensary, Pahar Ganj","Public/ Government","Dispensary","Gurudwara Street, Chuna Mandi, Pahar Ganj","Delhi","Central Delhi","NA","NA","011 23580679","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
"648","ESI Dispensary, Dwarka","Public/ Government","Dispensary","Opposite Shruti Apartment,Plot No. 22, Behind Vardhman Plaza, Dwarka, Sector-7","Delhi","South West Delhi","NA","110075","011 25088415","NA","NA","http://www.esic.nic.in/Delhi-dispensary.php","NA","NA","NA","NA"
